"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","94066","User should not be able to create a build configuration without a name","Surefire suite","2026-07-29","failed","2026-07-29","com.example.teamcity.ui.CreateBuildConfigurationTest","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","buildCreationWithoutName"
"","81780","User should be able to create a build configuration","Surefire suite","2026-07-29","failed","2026-07-29","com.example.teamcity.ui.CreateBuildConfigurationTest","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuild"
"","77591","setupTeamCityServerTest","Surefire suite","2026-07-29","passed","2026-07-29","com.example.teamcity.ui.SetupServerTest","Surefire test","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest"
"","76420","User should be able to create project","Surefire suite","2026-07-29","failed","2026-07-29","com.example.teamcity.ui.CreateProjectTest","Surefire test","com.example.teamcity.ui.CreateProjectTest","userCreatesProject"
"","76575","User should be able to find a project by its name","Surefire suite","2026-07-29","failed","2026-07-29","com.example.teamcity.ui.SearchProjectByName","Surefire test","com.example.teamcity.ui.SearchProjectByName","userSearchesProjectByName"
"","1","User should not be able to craete project without name","Surefire suite","2026-07-29","passed","2026-07-29","com.example.teamcity.ui.CreateProjectTest","Surefire test","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName"
