"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","User should not be able to craete project without name","Surefire suite","2026-07-30","passed","2026-07-30","com.example.teamcity.ui.CreateProjectTest","Surefire test","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName"
"","47035","User should be able to find a project by its name","Surefire suite","2026-07-30","passed","2026-07-30","com.example.teamcity.ui.SearchProjectByName","Surefire test","com.example.teamcity.ui.SearchProjectByName","userSearchesProjectByName"
"","93058","User should be able to create a build configuration","Surefire suite","2026-07-30","passed","2026-07-30","com.example.teamcity.ui.CreateBuildConfigurationTest","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuild"
"","77574","setupTeamCityServerTest","Surefire suite","2026-07-30","passed","2026-07-30","com.example.teamcity.ui.SetupServerTest","Surefire test","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest"
"","89744","User should not be able to create a build configuration without a name","Surefire suite","2026-07-30","passed","2026-07-30","com.example.teamcity.ui.CreateBuildConfigurationTest","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","buildCreationWithoutName"
"","92418","User should be able to create project","Surefire suite","2026-07-30","passed","2026-07-30","com.example.teamcity.ui.CreateProjectTest","Surefire test","com.example.teamcity.ui.CreateProjectTest","userCreatesProject"
