"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","109019","User should be able to create a build configuration","Surefire suite","2026-07-29","failed","2026-07-29","com.example.teamcity.ui.CreateBuildConfigurationTest","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","userCreatesBuild"
"","77883","setupTeamCityServerTest","Surefire suite","2026-07-29","passed","2026-07-29","com.example.teamcity.ui.SetupServerTest","Surefire test","com.example.teamcity.ui.SetupServerTest","setupTeamCityServerTest"
"","1","User should not be able to craete project without name","Surefire suite","2026-07-29","passed","2026-07-29","com.example.teamcity.ui.CreateProjectTest","Surefire test","com.example.teamcity.ui.CreateProjectTest","userCreatesProjectWithoutName"
"","32065","User should be able to find a project by its name","Surefire suite","2026-07-29","passed","2026-07-29","com.example.teamcity.ui.SearchProjectByName","Surefire test","com.example.teamcity.ui.SearchProjectByName","userSearchesProjectByName"
"","108252","User should be able to create project","Surefire suite","2026-07-29","failed","2026-07-29","com.example.teamcity.ui.CreateProjectTest","Surefire test","com.example.teamcity.ui.CreateProjectTest","userCreatesProject"
"","0","afterTest","Surefire suite","2026-07-29","failed","2026-07-29","com.example.teamcity.ui.SearchProjectByName","Surefire test","com.example.teamcity.ui.SearchProjectByName","afterTest"
"","91830","User should not be able to create a build configuration without a name","Surefire suite","2026-07-29","broken","2026-07-29","com.example.teamcity.ui.CreateBuildConfigurationTest","Surefire test","com.example.teamcity.ui.CreateBuildConfigurationTest","buildCreationWithoutName"
